Tax Dlic Income Miles Fuel
18.0 1031.38006702 23.471 11.4557199912 690.264417575
8.0 1031.64106194 30.064 9.51988177878 514.279222595
18.0 908.597153288 25.578 10.9195331175 621.475071439
21.7 946.570575821 22.257 11.4940687901 655.292667935
18.0 844.703336325 32.275 12.0362980454 573.912854954
22.0 989.606179768 32.949 11.3604034581 616.611511668
25.0 999.593430317 40.64 9.94798279242 549.992607824
23.0 924.344838096 31.255 8.66802408112 626.023933708
20.0 700.195272902 37.383 7.33563398193 317.492397162
13.6 1000.12415808 28.145 11.6724815095 586.346096056
7.5 933.302595482 27.94 11.6573201379 750.907417208
16.0 829.997134381 28.221 8.36124088964 426.349369564
25.0 925.193413719 24.18 10.7431131995 628.427947328
19.0 819.436730765 32.259 11.8376070355 526.237662149
15.0 879.23522849 27.011 11.4514542349 666.53646256
20.0 867.490690495 26.723 11.6390028957 647.001624725
21.0 909.065338702 27.816 11.8109909428 600.902409486
16.4 871.998489221 24.294 11.2761139309 659.741313891
20.0 800.685095736 23.334 11.0158219279 633.734764441
22.0 932.971582929 25.623 10.0288859619 584.09261655
23.5 844.963775371 33.872 10.3294739839 602.286173349
21.0 920.658856907 37.992 10.4746930623 543.232068166
19.0 914.633785036 29.612 11.7100535291 642.97059452
20.0 782.812385585 32.101 11.7926761671 672.919149935
18.4 860.807854956 20.993 11.2077716466 683.501954712
17.0 899.846814261 27.445 11.7306463401 689.366113917
27.0 974.235233233 22.569 11.1491251961 666.597759127
24.5 963.73312324 27.829 11.4378354723 617.690539889
24.75 923.803690237 30.529 10.5625090184 614.893985029
19.5 980.466232837 33.332 9.64911129879 689.652121138
10.5 873.136402254 36.983 10.4961235515 597.640261488
18.5 898.963896962 22.203 11.0001479375 646.527273975
22.0 744.380184904 34.547 11.6347979054 374.164069568
24.1 935.380823508 27.194 11.5248046275 645.441826353
21.0 907.890858982 25.068 11.3689511631 666.188746575
22.0 880.151157115 28.4 11.6722086651 572.075639994
17.0 814.861854952 23.517 11.6324314599 657.060517651
24.0 948.071715565 28.35 11.1092188099 556.345512241
26.0 848.588098994 29.539 11.695122014 518.328629902
29.0 798.133838646 29.685 8.70830929589 482.326937161
16.0 914.852670675 24.321 11.0999371282 711.733057689
22.0 943.895904162 26.115 11.3333202157 697.052777061
20.0 942.044364952 26.239 11.3831128633 638.231060955
20.0 835.295554894 27.871 12.6140911576 681.100136592
24.5 935.788545859 23.907 10.6503650555 591.499945888
20.0 1075.28820173 26.901 9.56738524748 691.022711861
17.5 889.919514395 31.162 11.1664978375 681.031121438
23.0 930.856245542 31.528 11.3020192313 576.069749558
25.65 904.89360094 21.915 10.5185921073 562.410933302
27.3 882.329081229 28.232 11.6321563409 581.793716946
14.0 970.752745613 27.23 10.2143488979 842.791752426
